"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"160679","349125","BROOKLYN","1006","59 STREET","11219","4","0","0","0","2025-08-21T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.633150","-74.004132","12","43","214","3140940","3057090009","Borough Park"
"42498","113476","MANHATTAN","506","WEST 151 STREET","10031","15","0","0","0","2023-12-14T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.829239","-73.945372","9","7","237","1062157","1020820039","Hamilton Heights-Sugar Hill"
"157265","327928","BROOKLYN","332","54 STREET","11220","15","1","1","0","2025-08-18T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.644922","-74.016079","7","38","76","3014528","3008220017","Sunset Park (West)"
"26439","112458","MANHATTAN","580","PARK AVENUE","10065","60","0","0","0","2023-12-28T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.765636","-73.967824","8","4","122","1041036","1013780033","Upper East Side-Carnegie Hill"
"329264","312685","BROOKLYN","45","LOUISA STREET","11218","4","0","0","0","2023-10-04T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.643274","-73.981216","12","39","496","3123952","3053140014","Kensington"
"316519","337557","BROOKLYN","173","JAVA STREET","11222","5","0","0","0","2024-05-02T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.731706","-73.953599","1","33","575","3321497","3025410054","Greenpoint"
"124678","202131","BRONX","3617","WILLETT AVENUE","10467","7","0","0","0","2020-12-18T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.880171","-73.866149","12","12","378","2057394","2046460081","Williamsbridge-Olinville"
"355798","331713","BROOKLYN","682","PRESIDENT STREET","11215","3","0","0","0","2023-08-09T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.675426","-73.980013","6","39","133","3020289","3009590020","Park Slope"
"810818","423422","QUEENS","25-08","120 STREET","11354","78","0","0","0","2024-12-12T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.776717","-73.848029","7","19","919","4449419","4042527501","College Point"
"890521","380954","BROOKLYN","1826","PROSPECT PLACE","11233","3","0","0","0","2021-11-09T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.672433","-73.915777","16","41","363","3378367","3014640118","Ocean Hill"
"35180","122779","MANHATTAN","140","WEST 74 STREET","10023","27","0","0","0","2024-01-04T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.779365","-73.979357","7","6","157","1030033","1011450049","Upper West Side-Lincoln Square"
"88882","207760","BRONX","2128","JEROME AVENUE","10453","31","0","0","0","2021-12-28T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.855206","-73.906078","5","14","241","2013962","2031790031","Mount Hope"
"29933","122906","MANHATTAN","288","WEST 11 STREET","10014","19","0","0","0","2023-12-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.735936","-74.005250","2","3","73",,,"West Village"
"204478","343077","BROOKLYN","2123","BAY RIDGE AVENUE","11204","3","0","0","0","2025-08-19T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.612503","-73.985341","11","43","258","3135157","3055800069","Bensonhurst"
"904991","382427","BROOKLYN","128","NORTH 10 STREET","11249","6","0","0","0","2023-12-20T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.720132","-73.956987","1","33","517","3256296","3023047502","Williamsburg"
"134923","338576","BROOKLYN","394","8 STREET","11215","8","0","0","0","2024-01-07T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.667857","-73.981832","6","39","153","3022164","3010060031","Park Slope"
"17554","111618","MANHATTAN","3","EAST 85 STREET","10028","30","0","0","0","2021-07-20T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.780719","-73.960563","8","4","15001","1046828","1014970005","Upper East Side-Carnegie Hill"
"143731","357112","BROOKLYN","685","18 STREET","11218","3","0","0","0","2024-04-29T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.653591","-73.977241","7","39","50202","3122149","3052670003","Windsor Terrace-South Slope"
"883980","142918","MANHATTAN","313","WEST 119 STREET","10026","54","0","0","0","2023-12-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.806561","-73.954421","10","9","257","1087509","1019467501","Harlem (South)"
"324310","820694","BROOKLYN","822","LENOX ROAD","11203","3","0","0","0","2023-12-28T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.655424","-73.929202","17","41","868","3323084","3046570007","East Flatbush-Rugby"
"31319","126977","MANHATTAN","346","WEST 22 STREET","10011","4","0","0","0","2023-10-23T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.745195","-74.000336","4","3","89","1013333","1007457501","Chelsea-Hudson Yards"
"694519","416999","QUEENS","566","SENECA AVENUE","11385","4","0","0","0","2024-10-30T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.704735","-73.910961","5","34","545","4082091","4034370042","Ridgewood"
"296076","342934","BROOKLYN","116","FRANKLIN STREET","11222","2","0","0","0","2024-05-10T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.728710","-73.957393","1","33","565","3064873","3025660003","Greenpoint"
"363903","332792","BROOKLYN","580","ROGERS AVENUE","11225","7","0","0","0","2022-02-23T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.657547","-73.953218","9","40","802","3115706","3050460046","Prospect Lefferts Gardens-Wingate"
"210712","340539","BROOKLYN","278","BLEECKER STREET","11237","6","0","0","0","2023-12-30T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.699503","-73.916912","4","37","433","3075705","3033090014","Bushwick (East)"
"661569","403030","QUEENS","16-22","HANCOCK STREET","11385","4","0","0","0","2025-09-03T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.697809","-73.906203","5","34","553","4085572","4035490022","Ridgewood"
"340393","328970","BROOKLYN","591","MORGAN AVENUE","11222","3","0","0","0","2022-05-07T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.724802","-73.939613","1","33","593","3067272","3026900121","Greenpoint"
"83902","206498","BRONX","1246","HAVEMEYER AVENUE","10462","3","0","0","0","2024-04-25T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.833566","-73.848254","9","18","96","2027095","2038310008","Westchester Square"
"370571","359086","BROOKLYN","100","SKILLMAN AVENUE","11211","3","0","0","0","2024-04-19T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.715671","-73.947319","1","34","501","3068556","3027530012","East Williamsburg"
"323560","312099","BROOKLYN","472","LEFFERTS AVENUE","11225","49","0","0","0","2023-11-09T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.662674","-73.945523","9","40","806","3035470","3013320007","Prospect Lefferts Gardens-Wingate"
"2244","103222","MANHATTAN","430","3 AVENUE","10016","8","0","0","0","2022-03-16T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.743118","-73.980036","6","2","72","1018265","1008850049","Murray Hill-Kips Bay"
"347802","318424","BROOKLYN","855","OCEAN AVENUE","11226","47","0","0","0","2021-08-03T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.641899","-73.959448","14","40","51602","3118823","3051630041","Flatbush"
"945684","914326","QUEENS","3-38","ENDEAVOR PLACE","11356","2","0","0","0","2024-01-02T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.792797","-73.844876","7","19","939","4541657","4039167505","College Point"
"288052","319262","BROOKLYN","869","EASTERN PARKWAY","11213","8","0","0","0","2024-01-01T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.669281","-73.939843","8","35","33701","3032842","3012650046","Crown Heights (North)"
"686512","403851","QUEENS","2002","PALMETTO STREET","11385","5","0","0","0","2021-12-18T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.706119","-73.904298","5","30","589","4083476","4034890001","Ridgewood"
"10828","125733","MANHATTAN","339","EAST 5 STREET","10003","8","0","0","0","2023-12-15T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.726365","-73.987975","3","2","38","1076952","1004470039","East Village"
"33981","132565","MANHATTAN","444","WEST 52 STREET","10019","12","0","0","0","2023-11-09T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.765286","-73.989358","4","3","133","1026732","1010610053","Hell's Kitchen"
"158397","351469","BROOKLYN","1027","56 STREET","11219","4","0","0","0","2021-04-21T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.634605","-74.001971","12","44","216","3139656","3056810062","Borough Park"
"381711","323540","BROOKLYN","469","TOMPKINS AVENUE","11216","4","0","0","0","2024-11-12T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.681349","-73.943499","3","36","269","3053349","3018520005","Bedford-Stuyvesant (West)"
"318916","332162","BROOKLYN","286","KEAP STREET","11211","3","0","0","0","2023-07-26T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.706971","-73.955676","1","33","529","3060264","3022010031","South Williamsburg"
"4292","101404","MANHATTAN","219","8 AVENUE","10011","13","0","0","0","2023-07-27T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.744152","-73.999325","4","3","89","1013305","1007450032","Chelsea-Hudson Yards"
"654851","410833","QUEENS","64-10","FLUSHING AVENUE","11378","3","0","0","0","2024-12-02T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.722739","-73.901308","5","30","521","4061460","4027510024","Maspeth"
